avgcpu,node_count,instance_type,job_input,engine_type,data_size,elapsed_time,name
72.14959287531806,12,c4.2xlarge,regression,spark1.5,huge,655.2861507329999,12_c4.2xlarge_regression_spark1.5_huge_1
19.75123904576436,12,c4.2xlarge,terasort,hadoop,bigdata,684.343,12_c4.2xlarge_terasort_hadoop_bigdata_1
17.32698245614035,12,c4.2xlarge,terasort,hadoop,huge,470.916,12_c4.2xlarge_terasort_hadoop_huge_1
50.38484391058582,12,c4.2xlarge,wordcount,hadoop,bigdata,433.123,12_c4.2xlarge_wordcount_hadoop_bigdata_1
47.36877231020613,12,c4.2xlarge,wordcount,hadoop,huge,252.784,12_c4.2xlarge_wordcount_hadoop_huge_1
65.20587583633393,12,c4.large,join,spark,bigdata,647.552,12_c4.large_join_spark_bigdata_1
53.896624412651654,12,c4.large,join,spark,huge,485.242,12_c4.large_join_spark_huge_1
91.68445251396649,12,c4.large,kmeans,spark1.5,bigdata,4476.655437168003,12_c4.large_kmeans_spark1.5_bigdata_1
90.79860209235208,12,c4.large,kmeans,spark1.5,huge,2310.1480058790003,12_c4.large_kmeans_spark1.5_huge_1
17.63665611359966,12,c4.large,lr,spark,bigdata,4696.213,12_c4.large_lr_spark_bigdata_1
15.125411741528763,12,c4.large,lr,spark,huge,2107.425,12_c4.large_lr_spark_huge_1
90.83904605263156,12,c4.large,naive-bayes,spark1.5,bigdata,1903.3623496949986,12_c4.large_naive-bayes_spark1.5_bigdata_1
88.11786616161613,12,c4.large,naive-bayes,spark1.5,huge,992.1418679150001,12_c4.large_naive-bayes_spark1.5_huge_1
67.37487818383168,12,c4.large,pagerank,hadoop,bigdata,1895.632,12_c4.large_pagerank_hadoop_bigdata_1
66.9924472096531,12,c4.large,pagerank,hadoop,huge,1097.813,12_c4.large_pagerank_hadoop_huge_1
75.31977595296026,12,c4.large,pagerank,spark,bigdata,744.192661744004,12_c4.large_pagerank_spark_bigdata_1
76.008760872891,12,c4.large,pagerank,spark,huge,611.487,12_c4.large_pagerank_spark_huge_1
87.76050925925927,12,c4.large,regression,spark1.5,bigdata,7200.489104159,12_c4.large_regression_spark1.5_bigdata_1
85.0920205479452,12,c4.large,regression,spark1.5,huge,1824.5834919440001,12_c4.large_regression_spark1.5_huge_1
34.14606293507653,12,c4.large,terasort,hadoop,bigdata,1687.094,12_c4.large_terasort_hadoop_bigdata_1
27.942102491516092,12,c4.large,terasort,hadoop,huge,1054.207,12_c4.large_terasort_hadoop_huge_1
53.903496315289715,12,c4.large,wordcount,hadoop,bigdata,1630.609,12_c4.large_wordcount_hadoop_bigdata_1
53.74205112115127,12,c4.large,wordcount,hadoop,huge,823.713,12_c4.large_wordcount_hadoop_huge_1
58.66826908199884,12,c4.xlarge,join,spark,bigdata,394.624,12_c4.xlarge_join_spark_bigdata_1
50.67749293785311,12,c4.xlarge,join,spark,huge,293.709,12_c4.xlarge_join_spark_huge_1
91.82228535353535,12,c4.xlarge,kmeans,spark1.5,bigdata,2309.3748331100032,12_c4.xlarge_kmeans_spark1.5_bigdata_1
87.91208510638297,12,c4.xlarge,kmeans,spark1.5,huge,1178.6763675490001,12_c4.xlarge_kmeans_spark1.5_huge_1
8.637663074712643,12,c4.xlarge,lr,spark,bigdata,4039.369,12_c4.xlarge_lr_spark_bigdata_1
7.653538095238095,12,c4.xlarge,lr,spark,huge,1745.457,12_c4.xlarge_lr_spark_huge_1
92.91360670194003,12,c4.xlarge,naive-bayes,spark1.5,bigdata,948.6253513640004,12_c4.xlarge_naive-bayes_spark1.5_bigdata_1
91.64800347222223,12,c4.xlarge,naive-bayes,spark1.5,huge,482.94271386499986,12_c4.xlarge_naive-bayes_spark1.5_huge_1
68.44299859550561,12,c4.xlarge,pagerank,hadoop,bigdata,1078.042,12_c4.xlarge_pagerank_hadoop_bigdata_1
67.07001798561151,12,c4.xlarge,pagerank,hadoop,huge,691.643,12_c4.xlarge_pagerank_hadoop_huge_1
73.07283126293996,12,c4.xlarge,pagerank,spark,bigdata,483.3520735589991,12_c4.xlarge_pagerank_spark_bigdata_1
64.59963541666667,12,c4.xlarge,pagerank,spark,huge,315.466,12_c4.xlarge_pagerank_spark_huge_1
89.12247090606816,12,c4.xlarge,regression,spark1.5,bigdata,4010.905224454,12_c4.xlarge_regression_spark1.5_bigdata_1
86.02529487179487,12,c4.xlarge,regression,spark1.5,huge,978.6109481350001,12_c4.xlarge_regression_spark1.5_huge_1
32.152413233012666,12,c4.xlarge,terasort,hadoop,bigdata,715.2951180960008,12_c4.xlarge_terasort_hadoop_bigdata_1
31.447637076037395,12,c4.xlarge,terasort,hadoop,huge,461.038,12_c4.xlarge_terasort_hadoop_huge_1
54.74390261504701,12,c4.xlarge,wordcount,hadoop,bigdata,801.916,12_c4.xlarge_wordcount_hadoop_bigdata_1
55.4060069667408,12,c4.xlarge,wordcount,hadoop,huge,403.668,12_c4.xlarge_wordcount_hadoop_huge_1
36.84963470319635,12,m4.2xlarge,join,spark,bigdata,378.468,12_m4.2xlarge_join_spark_bigdata_1
28.72316425120773,12,m4.2xlarge,join,spark,huge,342.007,12_m4.2xlarge_join_spark_huge_1
87.0379238921002,12,m4.2xlarge,kmeans,spark1.5,bigdata,868.8858810900001,12_m4.2xlarge_kmeans_spark1.5_bigdata_1
60.472419354838706,12,m4.2xlarge,kmeans,spark1.5,huge,157.51707242500015,12_m4.2xlarge_kmeans_spark1.5_huge_1
3.767188120778705,12,m4.2xlarge,lr,spark,bigdata,2446.131,12_m4.2xlarge_lr_spark_bigdata_1
3.228500957854406,12,m4.2xlarge,lr,spark,huge,1734.446,12_m4.2xlarge_lr_spark_huge_1
89.63178466076697,12,m4.2xlarge,naive-bayes,spark1.5,bigdata,568.0166710889989,12_m4.2xlarge_naive-bayes_spark1.5_bigdata_1
86.39441256830601,12,m4.2xlarge,naive-bayes,spark1.5,huge,308.5451088949999,12_m4.2xlarge_naive-bayes_spark1.5_huge_1
62.91751694915254,12,m4.2xlarge,pagerank,hadoop,bigdata,795.106,12_m4.2xlarge_pagerank_hadoop_bigdata_1
56.84596393034826,12,m4.2xlarge,pagerank,hadoop,huge,667.654,12_m4.2xlarge_pagerank_hadoop_huge_1
46.2349813646789,12,m4.2xlarge,pagerank,spark,bigdata,317.027,12_m4.2xlarge_pagerank_spark_bigdata_1
