instance_type,scope3_hourly,slope,intercept,error,r_value,p_value,max_power
c5d.large,1.2,0.12629032258064515,5.948387096774194,0.01517286791993231,0.9858709066958045,0.014129093304195537,18.0
c5d.xlarge,2.5,0.25225806451612903,11.859677419354838,0.031209989995934093,0.9850354861063022,0.014964513893697795,35.9
c5d.2xlarge,5.0,0.5048387096774194,23.73145161290323,0.061893729625136236,0.9852996194605776,0.014700380539422353,71.9
c5d.4xlarge,9.9,1.0091935483870966,47.432258064516134,0.12376355179689195,0.9852913874500404,0.014708612549959591,143.7
c5d.9xlarge,22.3,2.2711290322580644,106.75483870967741,0.2787547333279885,0.985267376885508,0.014732623114491968,323.4
c5d.12xlarge,25.2,3.634516129032258,122.61935483870968,0.45749260071463316,0.9845225210552303,0.01547747894476969,466.6
c5d.18xlarge,44.7,4.541612903225807,213.5604838709677,0.5569467000449392,0.9852923665001158,0.014707633499884238,646.8
c5d.24xlarge,50.5,7.268548387096774,245.30806451612898,0.9151536507464243,0.984514939525793,0.015485060474206945,933.2
c5d.metal,50.5,7.268548387096774,245.30806451612898,0.9151536507464243,0.984514939525793,0.015485060474206945,933.2
c5n.large,1.1,0.13435483870967743,6.2508064516129025,0.01613931124074695,0.9858751048031714,0.014124895196828583,19.1
c5n.xlarge,2.2,0.26838709677419353,12.48951612903226,0.03276427412119581,0.9854219486339857,0.014578051366014312,38.1
