avgcpu,job_input,engine_type,data_size,node_count,instance_type,elapsed_time,name
60.2195243243003,wordcount,hadoop,huge,10,r4.xlarge,512.090,10_r4.xlarge_wordcount_hadoop_huge_1
40.45379625803489,join,spark,bigdata,12,c4.2xlarge,305.989,12_c4.2xlarge_join_spark_bigdata_1
29.528750000000002,join,spark,huge,12,c4.2xlarge,288.597,12_c4.2xlarge_join_spark_huge_1
86.74051652892562,kmeans,spark1.5,bigdata,12,c4.2xlarge,1213.3391104870007,12_c4.2xlarge_kmeans_spark1.5_bigdata_1
81.30132205513785,kmeans,spark1.5,huge,12,c4.2xlarge,666.2022039559997,12_c4.2xlarge_kmeans_spark1.5_huge_1
3.543408739365816,lr,spark,bigdata,12,c4.2xlarge,2631.642,12_c4.2xlarge_lr_spark_bigdata_1
3.0576721556886226,lr,spark,huge,12,c4.2xlarge,1665.137,12_c4.2xlarge_lr_spark_huge_1
87.99098557692308,naive-bayes,spark1.5,bigdata,12,c4.2xlarge,521.8876142879999,12_c4.2xlarge_naive-bayes_spark1.5_bigdata_1
86.69603773584906,naive-bayes,spark1.5,huge,12,c4.2xlarge,265.82184146300006,12_c4.2xlarge_naive-bayes_spark1.5_huge_1
60.94662213740458,pagerank,hadoop,bigdata,12,c4.2xlarge,734.918,12_c4.2xlarge_pagerank_hadoop_bigdata_1
58.26943215339233,pagerank,hadoop,huge,12,c4.2xlarge,563.754,12_c4.2xlarge_pagerank_hadoop_huge_1
61.56681681681682,pagerank,spark,bigdata,12,c4.2xlarge,351.277,12_c4.2xlarge_pagerank_spark_bigdata_1
49.25576923076923,pagerank,spark,huge,12,c4.2xlarge,190.266,12_c4.2xlarge_pagerank_spark_huge_1
89.59568627450982,regression,spark1.5,bigdata,12,c4.2xlarge,2210.9201274179995,12_c4.2xlarge_regression_spark1.5_bigdata_1
72.14959287531806,regression,spark1.5,huge,12,c4.2xlarge,655.2861507329999,12_c4.2xlarge_regression_spark1.5_huge_1
19.75123904576436,terasort,hadoop,bigdata,12,c4.2xlarge,684.343,12_c4.2xlarge_terasort_hadoop_bigdata_1
17.32698245614035,terasort,hadoop,huge,12,c4.2xlarge,470.916,12_c4.2xlarge_terasort_hadoop_huge_1
50.38484391058582,wordcount,hadoop,bigdata,12,c4.2xlarge,433.123,12_c4.2xlarge_wordcount_hadoop_bigdata_1
47.36877231020613,wordcount,hadoop,huge,12,c4.2xlarge,252.784,12_c4.2xlarge_wordcount_hadoop_huge_1
65.20587583633393,join,spark,bigdata,12,c4.large,647.552,12_c4.large_join_spark_bigdata_1
53.896624412651654,join,spark,huge,12,c4.large,485.242,12_c4.large_join_spark_huge_1
91.68445251396649,kmeans,spark1.5,bigdata,12,c4.large,4476.655437168003,12_c4.large_kmeans_spark1.5_bigdata_1
90.79860209235208,kmeans,spark1.5,huge,12,c4.large,2310.1480058790003,12_c4.large_kmeans_spark1.5_huge_1
17.63665611359966,lr,spark,bigdata,12,c4.large,4696.213,12_c4.large_lr_spark_bigdata_1
15.125411741528763,lr,spark,huge,12,c4.large,2107.425,12_c4.large_lr_spark_huge_1
90.83904605263156,naive-bayes,spark1.5,bigdata,12,c4.large,1903.3623496949986,12_c4.large_naive-bayes_spark1.5_bigdata_1
88.11786616161613,naive-bayes,spark1.5,huge,12,c4.large,992.1418679150001,12_c4.large_naive-bayes_spark1.5_huge_1
67.37487818383168,pagerank,hadoop,bigdata,12,c4.large,1895.632,12_c4.large_pagerank_hadoop_bigdata_1
66.9924472096531,pagerank,hadoop,huge,12,c4.large,1097.813,12_c4.large_pagerank_hadoop_huge_1
75.31977595296026,pagerank,spark,bigdata,12,c4.large,744.192661744004,12_c4.large_pagerank_spark_bigdata_1
76.008760872891,pagerank,spark,huge,12,c4.large,611.487,12_c4.large_pagerank_spark_huge_1
87.76050925925927,regression,spark1.5,bigdata,12,c4.large,7200.489104159,12_c4.large_regression_spark1.5_bigdata_1
85.0920205479452,regression,spark1.5,huge,12,c4.large,1824.5834919440001,12_c4.large_regression_spark1.5_huge_1
34.14606293507653,terasort,hadoop,bigdata,12,c4.large,1687.094,12_c4.large_terasort_hadoop_bigdata_1
27.942102491516092,terasort,hadoop,huge,12,c4.large,1054.207,12_c4.large_terasort_hadoop_huge_1
53.903496315289715,wordcount,hadoop,bigdata,12,c4.large,1630.609,12_c4.large_wordcount_hadoop_bigdata_1
53.74205112115127,wordcount,hadoop,huge,12,c4.large,823.713,12_c4.large_wordcount_hadoop_huge_1
58.66826908199884,join,spark,bigdata,12,c4.xlarge,394.624,12_c4.xlarge_join_spark_bigdata_1
50.67749293785311,join,spark,huge,12,c4.xlarge,293.709,12_c4.xlarge_join_spark_huge_1
91.82228535353535,kmeans,spark1.5,bigdata,12,c4.xlarge,2309.3748331100032,12_c4.xlarge_kmeans_spark1.5_bigdata_1
